Note: This spreadsheet contains only auto-generated dummy data.,,,,,,,,,
Grantor,Grantee,Doc. Date,Recording Info,Legal Description,Contract Acres,Seller's Represented Ownership %,Seller's Represented Net Acres,Internal Valuation Tier,Internal Valuation $
Liliana Perkins and Karter Perkins,Marina Mountain Holding Company,8/28/2006,"Book 1543, Page 526","T. 153 No ,  Rge 103 W
Section 33: SE¼NW¼
Section 16: SW¼SE¼NW¼
Sec 22: SW¼, Lot  8  thru 12 and 12  to 16 , 12 - 14 & 1 - 4, SE¼
Sec. 14: SW¼, S½NE¼, E½NW¼

Tw.  153 No ,  103 W
Sec. 29: N½N½, SW¼SW¼",56522.20%,0.61,343.4798321,1,"$187,996.82 "
Vanessa Marshall and Alan Marshall,Marina Mountain Holding Company,1/12/1953,"Book 7351, Page 821","SW1/4SW1/4, NE1/4SW1/4, L  8 thru 12 & 7 of Section 18, SE1/4NW1/4NW1/4 of Sec.29, Lot  8, S1/2N1/2, SE1/4, E1/2NE1/4 of Section 23, Twp. 155 N - Range   98 W.",74023.97%,0.58,429.4123693,1,"$235,030.27 "
Holly Ryan and Gracelyn Ryan,Fast Sight Holding Company,2/2/1959,Doc. #8237812,"SE1/4NE1/4NW1/4, NE1/4NW1/4, NW1/4NE1/4, W1/2W1/2 of Sec.27, N1/2S1/2, N1/2S1/2, NW1/4SW1/4 of Section 25, NW1/4SE1/4 of Sec 36, Twp155 No. -  R. 103 West; NE1/4NW1/4, W1/2SE1/4, SW1/4NW1/4 of Sec. 28, NE1/4NW1/4, SE1/4SE1/4NW1/4, NE1/4NE1/4 of Sec9, Tw. 155 North , Range 99 W",56823.09%,0.11,61.15760998,3,"$4,668.16 "
Mena Miles and Clara Miles,Focused Carrion Corp.,6/7/1954,"Book 7403, Page 649","Township 155 No -  Range 102 
Sec. 18: SE1/4NW1/4NE1/4
Sec. 10: W1/2SE1/4, NE1/4SW1/4

Townshp 155North - Rg 099 West
Sec.2: N1/2N1/2, S1/2S1/2, SE1/4SE1/4, E1/2NW1/4

Twp. 154 No , Range 97 W
Sec14: NW1/4SE1/4",118067.10%,0.34,403.2787745,2,"$125,790.72 "
Allen Howard et al,Striking Knapp Limited Liability Company,3/13/1978,Doc. #8213826,"Township  155No - Rge 67 East
Sec 2:South West Quarter of south west quarter, South West Quarter of North East Quarter, Northeast Quarter of southeast quarter

T 154 N ,  R 65   E
Section 11: southeast quarter, North Half of Northeast Quarter
Section 30: South West Quarter

T 154 N - Range 65 E
Sec. 34: North West Quarter of southeast quarter, L 11, South West Quarter of south west quarter",77171.83%,0.23,178.7295155,1,"$97,824.03 "
Miah Keller and Paul Keller,Hammered Equipment Corporation,11/4/1950,"Book 7709, Page 384","North Half of the southeast quarter, northwest quarter of the southeast quarter of the south west quarter, Southwest Quarter of the southwest quarter, South East Quarter of the southeast quarter of Sec.20, Twp 154 No ,R. 101",103298.29%,0.77,795.0531322,1,"$435,156.43 "
Emmaline Matthews,Focused Carrion Corp.,6/22/1984,"Book 2552, Page 636","Township  155  , R. 101 Wes
Sec 35: SE¼NW¼, NE¼SE¼
Sec 12: W½E½, NW¼SW¼SW¼

Township 155 N  - Rge. 97 W
Sec 3: NE¼NW¼SW¼, L.  4 through 7 & 12 through 15, SE¼, NE¼",88363.09%,0.1,89.47940843,3,"$6,829.96 "
Joel Hayes and Rebecca Hayes,Striking Knapp Limited Liability Company,4/7/1997,"Book 785, Page 511","W½W½, NW¼NW¼NE¼ of Section 18, T. 154 North , Rge 101 W.; L14, SE¼, SE¼SW¼, SE¼NE¼ of Sec. 4, T 153N. , R 103 West; L.  9 &  15 , 11 and 5 thru 7 of Section22, NE¼NE¼, W½NW¼, L. 13, NW¼ of Sec 20, NE¼SE¼ of Sec. 2, Township 154 North , R 99 West",71698.83%,0.46,332.8556502,3,"$25,406.87 "
Ashley Washington and Frederick Washington,Fast Sight Holding Company,5/15/2015,"Book 5227, Page 460","NE1/4NE1/4NE1/4, NE1/4SE1/4, SE1/4NE1/4 of Sec 5, Townshi  154 No , Rg099 West; NE1/4NE1/4, N1/2NE1/4, NW1/4, NE1/4SW1/4 of Section10, S1/2NE1/4, NW1/4SW1/4, Lot 14 of Sec.  27, SW1/4SE1/4NE1/4, N1/2 of Sec 12, Township 155 N - Rge 101Wes",12749.55%,0.8,101.7280941,3,"$7,764.91 "
"Lucas Rivera, as Trustee",Focused Carrion Corp.,2/7/1987,"Book 3862, Page 531","SE4SW4 of Sec. 7, NE4, SE4 of Section 29, W2SE4, W2W2, Lots  13 and 16 of Sec 17, Twp.  153 North ,  R 099 West",99656.28%,0.05,49.20145199,2,"$15,346.92 "
Benjamin Hunt,Hammered Equipment Corporation,1/25/1974,"Book 6860, Page 355","Twp. 155 North  - R. 101 W
Sec 31: North East Quarter of the Southwest Quarter
Section 13: L 11",69716.02%,0.19,132.9888218,3,"$10,151.04 "
Phoenix Daniels,Clear Flight Incorporated,5/4/1997,"Book 8141, Page 202","W1/2E1/2 of Sec.28, SE1/4NW1/4NW1/4, NW1/4NE1/4, L. 6, NE1/4 of Section 4, Tw. 155 No.  , R 097  West; NW1/4NE1/4NE1/4 of Sec. 7, Tw. 155  No -Rg.100Wst; NE1/4NW1/4 of Section 2, NE1/4SW1/4, S1/2SE1/4 of Sec  33, Twp.153  N - Rg 098  W",109704.35%,0.05,51.55879754,2,"$16,082.22 "
Ruth Fernandez and Taven Fernandez,Sixteen Matrix Holding Company,7/10/2014,Doc. #572440,"W2SW4 of Sec. 29, SE4, S2S2, NE4SE4 of Sec. 19, E2SE4, SW4NE4, SW4SE4, SE4 of Sec. 12, NW4NE4 of Section 2, Twp  154 No - Rge 100 W",119265.74%,0.51,611.8241264,2,"$190,840.18 "
Julieta Valdez and Frederick Valdez,Clear Flight Incorporated,5/10/2003,Doc. #7785937,"SW4NW4, L. 10, W2W2NW4, SW4SE4 of Sec. 13, Township 155 No , Range 102W; SW4SE4, N2, SE4, NW4NW4 of Sec. 33, L  13 of Section 23, SE4NW4NW4, N2N2, NE4 of Sec 31, Tw.155 North , Range 099",120296.34%,0.11,131.7831083,1,"$72,128.85 "
Carleigh Gregory and Lewis Gregory,Fast Sight Holding Company,1/10/1996,Doc. #8492265,"T 155 North - Rg. 101 
Section 32: L 10
Sec.  19: L 6, NW4 of SW4, S2 of S2, N2 of SE4
Sec 35: W2 of SE4
Section 23: SW4 of SW4",119802.98%,0.49,585.7426394,1,"$320,594.52 "
